HS_KHANANG_TT_NHANH2,TS_KHANANG_TRALAI3,CHISO_LOINHUAN_GOP4,HS_NODAIHAN5,HS_KHOANPHAITHU_TREN_TS6,HS_DONBAY7,HS_VONGQUAY_TS_NGANHAN8,TANGTRUONG_DOANHTHUTHUAN9,TONG_NO10,DOANHTHUTHUAN11
1,0.437690205,0.091553455,0.888730675,0.54869076,0.002004565,0.006603762,0.00027235,0,0
0.099045515,0.438826669,0.365130931,0,0.203635577,0.000384968,0.285315088,0.00206959,2.37194E-06,0.001637792
0.062205429,0.438322446,0.161055326,0,0.326877299,0.005583169,0.148440535,0.001706393,4.28615E-05,0.000868465
0.082050805,0.438279008,0.221992518,0,0.622159706,0.004371318,0.216808892,0.001826503,4.54623E-05,0.001534247
0.074933442,0.440284859,0.434337468,0.15958096,0.437134819,0.005605948,0.462689373,0.00190377,4.74502E-05,0.001847214
0.095899552,0.43816515,0.044496948,0,0.546743129,0.005596836,0.454331291,0.01398661,6.94177E-05,0.00343663
0.070608615,0.438607424,0.075211656,0,0.046634928,0.005733511,0.296818415,1,7.40799E-05,0.00200922
0.12905656,0.437932598,0.250935223,0,0.483120537,0.001865612,0.051376515,0.006134371,9.8582E-05,0.0009325
0.045519967,0.439128621,0.553849183,0,0.129733824,0.015120798,0.203664023,0.003767568,0.000133511,0.000965733
0.022503052,0.437856898,0.03937783,0,0,0.039492207,0.080159894,0.000412732,0.000135181,0.000224909
0.01744812,0.437957096,0.277909037,0,0.555832071,0.044355555,1,0.008966502,0.000142632,0.002804263
0.00965878,0.438051352,0.139397519,0,0.235987881,0.021988711,0.261280904,0.365338184,0.000151306,0.001055712
0.023942336,0.438143471,0.169127781,0,0.224302099,0.02039417,0.214829016,0.002225847,0.000152229,0.000911003
0.010391211,0.438095102,0.182122465,0,0.015581043,0.008034205,0.349172337,0.001805847,0.000153089,0.00179492
0.031661919,0.438028621,0.082496554,0,0.496321143,0.025970506,0.17629663,0.004901147,0.000231931,0.002879248
0.051537523,0.439322692,0.271707029,0,0.470569141,0.005596836,0.09779081,0.017443004,0.000234325,0.002314795
0.051814218,0.439322692,0.271707029,0,0.470569141,0.005596836,0.09779081,0.017443004,0.000234325,0.002314795
0.027667267,0.438640519,0.35154558,0,0.452174854,0.015968182,0.131160483,0.002592677,0.000235286,0.001379879
0.052834971,0.439857971,0.186454026,0,0.374918849,0.004410043,0.107201484,0.002248798,0.000247014,0.003260493
0.052834971,0.439654755,0.151801536,0,0.374918849,0.004410043,0.107201484,0.00262041,0.000247014,0.003785248
0.021479974,0.437943378,0.060444969,0,0.760657866,0.087866004,0.349473077,0.000980191,0.000252858,0.001316849
0.014646283,0.438095102,0.182122465,0,0.013417009,0.013480699,0.291593048,0.001805847,0.000263999,0.00179492
0.049912225,0.43780614,0.258023233,0,0.095109284,0.006624176,0.055950278,0.000805,0.000264503,0.000661334
0.024016741,0.437921454,0.133786178,0.398698129,0.520666522,0.059984328,0.396914903,0.002760792,0.00027111,0.001425733
0.024823577,0.437975322,0.182713133,0,0.353278511,0.01153536,0.119544378,0.002118743,0.000286635,0.001691593
0.071710748,0.438246872,0.197972042,0,0.860528024,0.006425997,0.077077303,0.001891339,0.000302231,0.001536378
0.011409638,0.518227787,0.163221107,0,0.216944384,0.021041098,0.124569252,0.003344317,0.00033001,0.001265302
0.050086613,0.466846072,0.087025005,0,0.469270721,0.016688003,0.307356866,0.002059836,0.000331001,0.004388608
0.006905772,0.437878644,0.028548927,0,0.072495131,0.040952351,0.297081563,0.00146694,0.000347352,0.00357805
0.109113527,0.438149182,0.071962985,0.444568755,0.022722354,0,0.208776612,0.001903005,0.000364712,0.003551258
0.040151136,0.437914386,0.420161449,0,0.657325254,0.026300803,0.046940591,0.002835382,0.000379383,0.000534624
0.025495553,0.437936151,0.109470368,0,0.421120969,0.012817826,0.318070749,0.003045956,0.00037946,0.004378852
0.016450619,0.438822599,0.095983461,0,0.506167496,0.02618463,0.251519366,0.006922923,0.000409445,0.002474438
0.034475382,0.438562437,0.325556212,0,0.629950227,0.015829229,0.119744872,0.001960574,0.00040966,0.002011008
0.007521944,0.438042921,0.137625517,0,0.299285869,0.060246288,0.154016766,0.002793497,0.000416935,0.001290779
0.01197233,0.438225074,0.047745619,0,0.194438433,0.025437474,0.233600241,0.001941639,0.000423625,0.003189008
0.025416497,0.43792332,0.083185666,0,0.554858256,0.036391965,0.159242134,0.004473114,0.000427305,0.002173968
0.058436319,0.43815214,0.158397322,0,0.078770829,0.003018237,0.174517249,0.002033442,0.000454653,0.006701588
0.017864326,0.438101779,0.202106714,0,0.395801775,0.028398763,0.388268611,0.013372485,0.000460474,0.002027719
0.025146777,0.438920858,0.202598937,0.145850285,0.297121835,0.026013786,0.129418694,0.050071798,0.000464725,0.001390759
0.043408708,0.437931122,0.154951762,0,0.641852413,0.011127613,0.6330965,0.00263571,0.000479621,0.012479624
