MIS_DATE,APP_ID,BIRTH_DAYS,GENDER,MARRIAGE,ID_ISSUE_DAYS,EDUCATION,REQUEST_LOAN_AMOUNT,CURRENT_PROVINCE,REQ_MAX_AMT_R,REFERENCE_RELATIONSHIP_2,LIV_AGE_R,WOR_AGE_R,SPOUSE_REL,MAX_DPD
2019-01-31,633543,18642,FEMALE,MARRIED,1564,PRIMARY_SCHOOL,40,An Giang,1,CHILDREN,1,0.2,0,5
2019-01-31,628980,8082,FEMALE,DIVORCE,690,HIGH_SCHOOL,40,Dong Nai,1,FRIEND/CO-WORKER,0.04,0.09,0,4
2019-01-31,639809,11709,FEMALE,MARRIED,4476,HIGH_SCHOOL,40,Binh Duong,1,FRIEND/CO-WORKER,0.12,0.12,1,0
2019-01-31,653191,16754,MALE,MARRIED,1601,HIGH_SCHOOL,50,Phu Tho,1,FRIEND/CO-WORKER,0.98,0.17,0,2
2019-01-31,605747,11569,MALE,MARRIED,4315,SECONDARY_SCHOOL,15,Khanh Hoa,0.38,FRIEND/CO-WORKER,0.09,0.13,1,4
2019-01-31,636570,8682,FEMALE,SINGLE,4,SECONDARY_SCHOOL,40,An Giang,0.8,FRIEND/CO-WORKER,1,0.17,0,12
2019-01-31,669079,12513,FEMALE,DIVORCE,316,COLLEGE,30,Ho Chi Minh,0.6,FRIEND/CO-WORKER,1,0.03,0,30
2019-01-31,628123,9781,FEMALE,DIVORCE,2060,SECONDARY_SCHOOL,40,Nghe An,0.8,FRIEND/CO-WORKER,1,0.13,0,42
2019-01-31,652515,17266,FEMALE,MARRIED,5378,HIGH_SCHOOL,25,Phu Tho,0.63,FRIEND/CO-WORKER,0.58,0.31,1,1
2019-01-31,655793,8756,MALE,MARRIED,910,SECONDARY_SCHOOL,40,Tay Ninh,1,FRIEND/CO-WORKER,0.03,0.01,1,165
2019-01-31,659871,10089,FEMALE,MARRIED,4520,SECONDARY_SCHOOL,20,Ho Chi Minh,0.4,FRIEND/CO-WORKER,0.71,0.29,0,165
2019-01-31,647369,15227,FEMALE,MARRIED,21,HIGH_SCHOOL,40,Tien Giang,1,FRIEND/CO-WORKER,0.6,0.12,0,165
2019-01-31,623562,14911,MALE,MARRIED,441,UNIVERSITY,50,Thanh Hoa,1,FRIEND/CO-WORKER,0.98,0.07,0,1
2019-01-31,629616,9037,FEMALE,SINGLE,1950,HIGH_SCHOOL,40,Dong Nai,0.8,FRIEND/CO-WORKER,0.96,0.36,0,1
2019-01-31,590600,20325,MALE,DIVORCE,1015,UNIVERSITY,50,Ha Noi,1,FRIEND/CO-WORKER,0.16,0.59,0,62
2019-01-31,654244,12074,FEMALE,MARRIED,3918,SECONDARY_SCHOOL,50,Ho Chi Minh,1,FRIEND/CO-WORKER,0.03,0.14,1,2
2019-01-31,670317,10617,FEMALE,MARRIED,4077,HIGH_SCHOOL,40,Tien Giang,0.8,FRIEND/CO-WORKER,0.14,0.21,0,3
2019-01-31,639471,7928,FEMALE,MARRIED,392,HIGH_SCHOOL,20,Binh Duong,0.5,FRIEND/CO-WORKER,0.27,0.14,1,-1
2019-01-31,636666,10238,MALE,MARRIED,1435,HIGH_SCHOOL,20,Binh Duong,0.4,FRIEND/CO-WORKER,0.04,0.25,1,32
2019-01-31,668665,13620,FEMALE,MARRIED,311,SECONDARY_SCHOOL,50,Ho Chi Minh,1,FRIEND/CO-WORKER,0.03,0.32,1,33
2019-01-31,616180,11821,MALE,MARRIED,1859,UNIVERSITY,30,Da Nang,0.6,FRIEND/CO-WORKER,0.12,0.01,1,276
2019-01-31,637633,10242,FEMALE,MARRIED,4229,SECONDARY_SCHOOL,40,Dong Nai,0.8,FRIEND/CO-WORKER,0.11,0.11,0,-1
2019-01-31,605030,8916,MALE,SINGLE,3472,UNIVERSITY,20,Ha Noi,0.4,FRIEND/CO-WORKER,0.04,0.16,0,2
2019-01-31,653328,15743,FEMALE,MARRIED,4505,SECONDARY_SCHOOL,30,Khanh Hoa,0.75,FRIEND/CO-WORKER,0.48,0.27,1,3
2019-01-31,602581,8656,MALE,SINGLE,1470,COLLEGE,50,Nghe An,1,FRIEND/CO-WORKER,0.06,0.06,0,241
2019-01-31,676649,9858,MALE,SINGLE,999,COLLEGE,40,Vinh Long,1,FRIEND/CO-WORKER,0.33,0.13,0,2
2019-01-31,641916,8447,FEMALE,SINGLE,139,COLLEGE,20,Tien Giang,0.4,FRIEND/CO-WORKER,1,0.03,0,1
2019-01-31,625506,16848,FEMALE,DIVORCE,511,HIGH_SCHOOL,30,Long An,0.75,FRIEND/CO-WORKER,1,0.04,0,2
2019-01-31,592296,10184,FEMALE,MARRIED,4599,HIGH_SCHOOL,30,An Giang,0.75,FRIEND/CO-WORKER,0.96,0.04,1,215
2019-01-31,668243,12569,MALE,DIVORCE,2220,SECONDARY_SCHOOL,40,Ba Ria - Vung Tau,1,FRIEND/CO-WORKER,1,0.11,0,29
2019-01-31,631140,20991,MALE,MARRIED,502,HIGH_SCHOOL,35,Phu Tho,0.7,FRIEND/CO-WORKER,0.98,0.34,1,1
2019-01-31,605449,9999,MALE,SINGLE,2685,SECONDARY_SCHOOL,30,Long An,0.75,FRIEND/CO-WORKER,0.13,0.13,0,153
2019-01-31,633541,21161,MALE,WIDOW,612,HIGH_SCHOOL,20,An Giang,0.5,FRIEND/CO-WORKER,0.52,0.34,0,144
2019-01-31,644052,14262,MALE,MARRIED,2661,SECONDARY_SCHOOL,20,Binh Duong,0.5,FRIEND/CO-WORKER,0.05,0.05,1,0
2019-01-31,666242,11055,MALE,MARRIED,712,HIGH_SCHOOL,50,Khanh Hoa,1,FRIEND/CO-WORKER,0.06,0.02,1,1
2019-01-31,604597,11275,FEMALE,MARRIED,1028,UNIVERSITY,15,Thanh Hoa,0.38,FRIEND/CO-WORKER,0.1,0.06,0,138
