new_index,Net revenue,Gross profit,Operating profit,Profit after tax,Net profit,Current assets,Total assets,Liabilities,Short -term liabilities,Owner's equity,Trailing EPS,Book value per share,ROS,ROEA,ROAA,Price
2019Q3,7104374,2782725,1347403,1159712,960108,18431910.0,32276824.0,16025694.0,15404438.0,16251130.0,4666.0,23959.0,16.32,5.99,3.06,51.656508469571286
2019Q2,6825919,2578130,1164536,986167,791704,17849605.0,30375757.0,14570321.0,14116094.0,15805436.0,4588.0,23302.0,14.45,5.05,2.68,43.45697778191798
2019Q1,5666480,2279330,937234,793923,626304,16918516.0,28748321.0,13215558.0,12709176.0,15532763.0,4453.0,25316.0,14.01,4.13,2.14,38.81851936382074
2018Q4,6952447,2571211,1086435,926432,786460,18373436.0,29725930.0,14963121.0,14432175.0,14762809.0,4262.0,24061.0,13.33,5.44,2.72,37.72876826966989
2018Q3,6036059,2295670,1057301,890264,724918,17461655.0,28080869.0,13916060.0,13360082.0,14164809.0,5821.0,23082.0,14.75,5.17,2.67,37.215615061919465
2018Q2,5474263,2000673,879552,759029,594282,16757931.0,26286146.0,12400576.0,11901668.0,13885569.0,5794.0,22627.0,13.87,4.28,2.32,42.630303349936845
2018Q1,4750769,1855560,771386,652768,509014,15891378.0,25010920.0,11111084.0,10523958.0,13899836.0,5895.0,26178.0,13.74,3.75,2.04,43.575029482700025
2017Q4,12495737,2850422,1922130,1567244,1419645,16053004.0,25025223.0,11790285.0,11129329.0,13234938.0,5898.0,24925.0,12.54,10.81,5.19,39.77419272040138
2017Q3,10831198,2415837,882252,744031,582641,21767021.0,29693707.0,16659921.0,15768900.0,13033786.0,4538.0,24546.0,6.87,4.63,2.02,34.60093275272434
2017Q2,9946703,2431580,779117,670457,511686,20220920.0,28045804.0,15895578.0,14738302.0,12150226.0,4477.0,26314.0,6.74,4.24,1.83,30.259069970545852
2017Q1,9418120,2075513,629911,540340,412900,20264901.0,28003927.0,16023450.0,14835526.0,11980477.0,3737.0,26076.0,5.74,3.52,1.43,27.69438545816585
2016Q4,12399573,2787128,986046,831527,661138,22082043.0,29912454.0,18464444.0,17471940.0,11448011.0,3706.0,24917.0,6.71,5.9,2.35,26.415671268235247
2016Q3,9755288,2216581,749014,667466,467811,18913792.0,26397928.0,15434639.0,14346985.0,10963289.0,3711.0,23857.0,6.84,4.28,1.81,26.447588247120255
2016Q2,8958526,1933550,673288,629353,114187,17801377.0,25344505.0,14434112.0,13305700.0,10910393.0,3660.0,23742.0,7.03,1.06,0.46,24.13326193357903
2016Q1,8466518,1686151,554781,446509,345690,17461659.0,24695453.0,14052383.0,12948093.0,10643071.0,4663.0,26766.0,5.27,3.32,1.36,23.78929127218715
2015Q4,10449043,2158681,843492,780721,662499,19209380.0,25983205.0,15804968.0,14804951.0,10178237.0,5032.0,25597.0,7.47,6.58,2.67,25.006133508571818
2015Q3,9527464,1914597,621827,519226,389064,16827486.0,23677162.0,13704991.0,13006055.0,9972171.0,4642.0,25078.0,5.45,3.91,1.68,22.86625239693091
2015Q2,11744376,1801913,711604,590509,456633,16240765.0,22581606.0,12657394.0,12339406.0,9924212.0,4816.0,24958.0,5.03,4.99,2.04,21.795536246988057
